Character ID,Character Name,Character Type,Parent ID,State ID,State Name,State Description
19,Phyllode apex (pungency),discrete,,53,Coarsely pungent,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/39835?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#coarsely-pungent","type":2}]
19,Phyllode apex (pungency),discrete,,54,Apex not pungent,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/20680?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#apex-not-pungent","type":2}]
20,Phyllode base (decurrence),discrete,,55,Continuous with branchlet,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/22038?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#continuous-with-branchlet","type":2}]
20,Phyllode base (decurrence),discrete,,56,Not continuous with branchlet,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/20680?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#not-continuous-with-branchlet","type":2}]
21,Pulvinus (presence),discrete,,57,Pulvinus present,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/22028?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#pulvinus-present","type":2}]
21,Pulvinus (presence),discrete,,58,Pulvinus absent or very reduced,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/25076?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#pulvinus-absent-or-very-reduced","type":2}]
22,Gland number (on phyllodes including apex),grouping,,,,
23,Gland distance above pulvinus or base (on phyllodes),grouping,,,,
24,Gland at apex of phyllodes,discrete,,59,Apex gland present,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/25188?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#apex-gland-present","type":2}]
24,Gland at apex of phyllodes,discrete,,60,Apex gland absent,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/22008?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#apex-gland-absent","type":2}]
25,Petiole length,grouping,,,,
26,Rachis length,grouping,,,,
27,Pinnae number (pairs),grouping,,,,
28,Pinnae length,grouping,,,,
29,Petiolar glands (presence),discrete,,61,Petiolar glands present,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/32724?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#petiolar-glands-present","type":2}]
29,Petiolar glands (presence),discrete,,62,Petiolar glands absent,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/55550?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#petiolar-glands-absent","type":2}]
30,Petiolar glands (number),grouping,,,,
31,Jugary glands (presence),discrete,,63,Jugary glands present,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/21930?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#jugary-glands-present","type":2}]
31,Jugary glands (presence),discrete,,64,Jugary glands absent,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/42559?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#jugary-glands-absent","type":2}]
32,Interjugary glands (presence),discrete,,65,Interjugary glands present,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/21998?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#interjugary-glands-present","type":2}]
32,Interjugary glands (presence),discrete,,66,Interjugary glands absent,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/21930?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#interjugary-glands-absent","type":2}]
33,Rachilla glands (presence),discrete,,67,Rachilla glands present,[{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#rachilla-glands-present","type":2}]
33,Rachilla glands (presence),discrete,,68,Rachilla glands absent,[{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#rachilla-glands-absent","type":2}]
