Character ID,Entity ID,Min Value,Max Value,Other Values
22,45,1,1,1;2.5;2.5
22,46,1,3,3;6;6
22,47,1,1,1;1.5;1.5
22,48,1,1,1;3;3
22,49,1,1,1;3.5;3.5
22,50,1,2,2;2.5;2.5
22,51,1,1,1;1.5;1.5
22,52,1,1.5,1.5;2.5;2.5
22,53,1,1,1;2;2
22,54,1,1.5,1.5;2;2
22,55,1,2.5,2.5;3;3
22,56,1,2,2;3;3
22,57,1,4,4;5;5
22,58,1,3.5,3.5;4;4
22,59,1,2,2;3;3
22,60,1,2,2;3;3
22,61,1,3.5,3.5;5;5
22,62,1,1.5,1.5;2.5;2.5
22,63,1,3,3;3.5;3.5
22,64,1,1.5,1.5;2.5;2.5
22,65,1,4,4;5;5
22,66,1,4,4;4.5;5
22,67,1,3,3;5;5
22,68,1,5,5;7;7
22,69,1,2,2;2.5;2.5
22,70,1,3.5,3.5;4.5;5
22,71,1,2,2;2.5;3
22,72,1,2,2;3;3
22,73,1,2,2;3.5;4
22,74,1,20,20;40;40
22,75,1,1,1;1.5;1.5
22,76,1,3,3;5;6
22,77,1,1,1;3;3
22,78,1,1.5,1.5;3.5;4
22,79,1,1.5,1.5;2.5;2.5
22,80,1,4.5,4.5;5.5;6
22,81,1,1,1;2;2
22,82,1,1.5,1.5;2.5;2.5
22,83,1,2,2;3;3
22,84,1,1,1;2;2
22,85,1,3,3;4;4
22,86,1,5,5;8;8
22,87,1,3,3;6;6
22,88,1,8,8;15;15
22,89,1,3,3;4;4
22,90,1,1,1;2;2
22,91,1,1,1;1.5;1.5
22,92,1,1.5,1.5;2;2
22,93,1,1.5,1.5;2;2
22,94,1,2,2;3;3
22,95,1,1,1;1.5;1.5
22,96,1,3,3;4;4
22,97,1,4,4;7;7
22,98,1,2,2;4;4
22,99,1,0.9,0.9;1.1;1.1
22,100,1,0.5,0.5;1;1
22,101,1,1.5,1.5;2;2
22,102,1,1,1;2;2
22,103,1,1.5,1.5;4;4
22,104,1,2,2;5;5
22,105,1,3,3;4;4
22,106,1,10,10;20;20
22,107,1,0.5,0.5;1.5;1.5
36,1,1,4,4;6;6
36,2,1,1,1;2;2
36,3,1,1,1;4;4
36,4,1,2,2;4.5;4.5
36,5,1,1,1;2.5;2.5
36,6,1,0.5,0.5;1.5;1.5
36,7,1,3,3;3.5;4
36,8,1,2,2.5;3;3
36,9,1,2.5,2.5;4;4
36,10,1,4,4;5;5
36,11,1,4,4;5;5
36,12,1,6,6;12;12
36,13,1,4,4;6;6
36,14,1,3,3;4;4
36,15,1,4,4;5;5
36,16,1,5,5;7;7
36,17,1,3,3;5;5
36,18,1,4,4;6;6
36,19,1,2,2;4;4
36,20,1,1,1;2.5;2.5
36,21,1,3,3;4;4
36,22,1,1,1;2;2
36,23,1,1.5,1.5;2.4;3.5
36,24,1,2,2;3;3
36,25,1,2,2;3;3
36,26,1,1,1.5;2.5;2.5
36,27,1,2,2;4;4
36,28,1,1,1.5;2;2
36,29,1,1,1.5;2;2
36,30,1,1,1.5;2;2
36,31,1,1,1;2;2
36,32,1,1,1;3;3
36,33,1,1.5,1.5;2.5;2.5
36,34,1,2,2;5;5
36,35,1,1,1;2;2
36,36,1,4,4;5;5
36,37,1,4,4;5;5
36,38,1,5,5;8;8
36,39,1,2,2;3;3
36,40,1,3,3;5;5
36,41,1,4,4;7;7
36,42,1,3,3;4;4
36,43,1,2,2;4;4
36,44,1,1,1;2.5;2.5
36,45,1,1,1;2.5;2.5
36,46,1,8,8;12;12
36,47,1,3,3;6;6
36,48,1,0.5,0.5;1;1
36,49,1,1.5,1.5;3;3
36,50,1,1.5,1.5;3;3
36,51,1,3,3;4;5
36,52,1,0.5,0.5;1.5;2
36,53,1,2,2;3;3
36,54,1,0.5,0.5;1;1
36,55,1,0.5,0.5;1;1
36,56,1,0.5,0.5;1;1
36,57,1,1,1;2;2
36,58,1,0.5,0.5;1.5;2
36,59,1,0.5,0.5;1;1
36,60,1,1,1;2;2
36,61,1,1.5,1.5;2.5;2.5
36,62,1,0.5,0.5;1;1
36,63,1,1,1;2;2
36,64,1,0.5,0.5;1;1
36,65,1,4,4;6;6
36,66,1,0.5,0.5;1.5;2
36,67,1,0.5,0.5;1;1
36,68,1,2,2;2.5;3
36,69,1,0.5,0.5;1;1
36,70,1,0.5,0.5;1;1
36,71,1,0.5,0.5;1;1
36,72,1,0.5,0.5;1.5;2
36,73,1,1.5,1.5;2.5;3
36,74,1,5,5;10;10
36,75,1,4,4;5;5
36,76,1,9,9;14;15
36,77,1,8,8;12;12
36,78,1,1,1;2.5;3
36,79,1,0.5,0.5;1.5;2
36,80,1,2.5,2.5;3.5;4
36,81,1,1.5,1.5;3;3
36,82,1,1.5,1.5;3;3
36,83,1,1.5,1.5;2;2
36,84,1,2,2;3.5;4
36,85,1,1,1;2;2
36,86,1,8,8;13;13
36,87,1,5,5;10;10
36,88,1,6,6;10;10
36,89,1,2.5,2.5;3;3
36,90,1,2,2.5;5;5
36,91,1,2,2;3;3
36,92,1,0.5,0.5;3;3
36,93,1,2,2;4;4
36,94,1,1,1;2.5;3
36,95,1,2,2;3.5;4
36,96,1,4,4;6;6
36,97,1,4,4;6;6
36,98,1,4,4;7;7
36,99,1,1,1;2;2
36,100,1,2,2;3;3
36,101,1,2,2;3;3
36,102,1,3,3;5;5
36,103,1,3,3;6;6
36,104,1,1.5,1.9;2.1;2.5
36,105,1,3,3;5.5;5.5
36,106,1,1.5,1.5;3;3
36,107,1,2.5,2.5;5;5
37,1,1,4,4;8;8
37,2,1,2,2;3;3
37,3,1,2,2;5;5
37,4,1,3,3;6;6
37,5,1,2,2;4;4
37,6,1,2,2;2.5;2.5
37,7,1,5,5;6.5;7
37,8,1,4,4;6;6
37,9,1,4.5,4.5;7;7
37,10,1,9,9;10;10
37,11,1,7,7;9;9
37,12,1,10,10;25;25
37,13,1,6,6;11;11
37,14,1,5,5;8;8
37,15,1,7,7;9;9
37,16,1,11,11;14;14
37,17,1,4,4;8;8
37,18,1,8,8;14;14
37,19,1,4,4;5.5;5.5
37,20,1,2,2;3;3
37,21,1,6,6;11;11
37,22,1,2,2;6;6
37,23,1,2.5,3;4;4
37,24,1,4,4.5;7;7
37,25,1,5,5;8;8
37,26,1,3,3;4;4
37,27,1,4.5,4.5;12;12
37,28,1,3.5,3.5;5;5
37,29,1,3,3;4;4
37,30,1,2,2;3.5;3.5
37,31,1,2.5,2.5;3.5;3.5
37,32,1,3,3;5;5
37,33,1,3,3;6;6
37,34,1,5,5;12;12
37,35,1,2.5,2.5;4;4
37,36,1,8,8;9;9
37,37,1,8,8;12;12
37,38,1,7,7;14;14
37,39,1,2,2;3;3
37,40,1,4,4;9;9
37,41,1,8,8;15;15
37,42,1,4,4;9;10
37,43,1,3.5,3.5;6;6
37,44,1,1.5,1.5;6;6
37,45,1,1.5,1.5;6;6
37,46,1,12,12;22;22
37,47,1,6,6;10;10
37,48,1,0.5,0.5;1;1
37,49,1,3.5,3.5;6;6
37,50,1,2,2;4.5;4.5
37,51,1,6,6;9;10
37,52,1,0.5,0.5;1.5;2
37,53,1,4,4;5.5;6
37,54,1,0.1,0.1;1;1
37,55,1,0.1,0.1;1;1
37,56,1,0.1,0.1;1;1
37,57,1,1,1;2;2
37,58,1,0.5,0.5;1.5;2
37,59,1,0.1,0.1;1;1
37,60,1,,0;2;2
37,61,1,3,3;4;5
37,62,1,,0;1;1
37,63,1,,1;3;3
37,64,1,,0;0.5;1
37,65,1,7,7;9;10
37,66,1,0.5,0.5;1;1
37,68,1,3,3;4;4
37,69,1,,0;1;1
37,71,1,,0;1;1
37,72,1,,0;0.5;1
37,73,1,2.5,2.5;4;4
37,74,1,15,15;30;30
37,75,1,5.6,5.6;12;12
37,76,1,20,20;30;30
37,77,1,15,15;25;25
37,78,1,1,1;2.5;3
37,79,1,0.5,0.5;1.5;2
37,80,1,3,3;5;5
37,81,1,4,4;5;5
37,82,1,2.5,2.5;6;6
37,83,1,2,2;3;3
37,84,1,3.5,3.5;6;6
37,85,1,2,2;3;3
37,86,1,15,15;25;25
37,87,1,12,12;20;20
37,88,1,15,15;25;25
37,89,1,5,5;10;10
37,90,1,5,5;10;10
37,91,1,1.5,1.5;2;2
37,92,1,2,2;5;5
37,93,1,4,4;5.5;6
37,94,1,1,1;2.5;3
37,95,1,2,2;6;6
37,96,1,10,10;12;12
37,97,1,10,10;12;12
37,98,1,9,9;12;12
37,99,1,1,1;2.5;2.5
37,100,1,2,2;6;6
37,101,1,2,2;4;4
37,102,1,6,6;10;10
37,103,1,6,6;13;13
37,104,1,3,3;6;6
37,105,1,5,5;21;21
37,106,1,2,2;5;5
37,107,1,4,4;8.5;8.5
