Character ID,Entity ID,Min Value,Max Value,Other Values
16,100,1,2,2;15;15
16,101,1,2,2;5;5
16,102,1,10,10;40;40
16,103,1,2,2;7;7
16,104,1,30,30;90;90
16,105,1,5,5;15;15
16,106,1,2,2;90;90
16,107,1,2,2;20;20
16,108,1,2,2;10;10
16,109,1,2,2;20;20
16,110,1,2,2;20;20
16,111,1,2,2;12;12
16,112,1,2,2;10;10
16,113,1,2,2;10;10
16,114,1,2,2;10;10
16,115,1,2,2;5;5
16,116,1,5,5;30;30
16,117,1,2,2;8;8
16,118,1,2,2;10;10
16,119,1,5,5;40;40
16,120,1,2,2;12;12
16,121,1,5,5;20;20
16,122,1,2,2;8;8
16,123,1,2,2;12;12
16,124,1,5,5;18;18
16,125,1,5,5;40;40
16,126,1,5,5;40;40
16,127,1,30,30;100;100
16,128,1,10,10;35;35
16,129,1,5,5;15;15
16,130,1,10,10;65;65
16,131,1,2,2;10;10
16,132,1,5,5;20;20
16,133,1,2,2;10;10
16,134,1,5,5;25;25
16,135,1,10,10;45;45
16,136,1,2,2;12;12
16,137,1,10,10;45;45
16,138,1,2,2;10;10
16,139,1,2,2;7;7
16,140,1,2,2;10;10
16,141,1,2,2;15;15
16,142,1,3,3;10;10
16,143,1,10,10;40;40
16,144,1,10,10;40;40
16,145,1,5,5;35;35
16,146,1,5,5;35;35
16,147,1,2,2;10;10
16,148,1,5,5;20;20
16,149,1,5,5;20;20
16,150,1,5,5;15;15
16,151,1,5,5;15;15
16,152,1,10,10;90;90
16,153,1,2,2;8;8
16,154,1,3,3;9;9
16,155,1,2,2;10;10
16,156,1,2,2;8;8
16,157,1,2,2;10;10
16,158,1,5,5;15;15
16,159,1,4,4;10;10
29,1,1,1,1;2.5;2.5
29,2,1,0.6,0.6;1.5;1.5
29,3,1,1,1;2.5;2.5
29,4,1,0.8,0.8;2.3;2.3
29,5,1,1,1;2.5;2.5
29,6,1,0.6,0.6;1.8;1.8
29,7,1,0.4,0.4;1.5;1.5
29,8,1,1.5,1.5;4;4
29,9,1,1.2,1.2;3;3
29,10,1,0.6,0.6;2.4;2.4
29,11,1,0.8,0.8;2.5;2.5
29,12,1,1,1;3.8;3.8
29,13,1,1,1;2.5;2.5
29,14,1,0.5,0.5;1.3;1.3
29,15,1,0.8,0.8;2.2;2.2
29,16,1,1,1;3;3
29,17,1,1.2,1.2;2;2
29,18,1,1.8,1.8;4.3;4.3
29,19,1,1.5,1.5;3;3
29,20,1,1.5,1.5;3;3
29,21,1,1,1;2.9;2.9
29,22,1,1,1;2.2;2.2
29,23,1,1,1;2.5;2.5
29,24,1,1,1;1.8;1.8
29,25,1,1.5,1.5;3.5;3.5
29,26,1,1.2,1.2;3.5;3.5
29,27,1,1,1;3.3;3.3
29,28,1,1.8,1.8;3.2;3.2
29,29,1,0.5,0.5;1.7;1.7
29,30,1,0.5,0.5;1.7;1.7
29,31,1,0.8,0.8;3.3;3.3
29,32,1,1.8,1.8;4;4
29,33,1,1.7,1.7;3.2;3.2
29,34,1,0.6,0.6;2.2;2.2
29,35,1,1.3,1.3;3.7;3.7
29,36,1,,0;1.1;1.1
29,37,1,1,1;2.5;2.5
29,38,1,0.2,0.2;2.5;2.5
29,39,1,1.2,1.2;1.8;1.8
29,40,1,1,1;2.6;2.6
29,41,1,,0;2.3;2.3
29,42,1,0.4,0.4;1.2;1.2
29,43,1,0.8,0.8;2.5;2.5
29,44,1,0.8,0.8;2.5;2.5
29,45,1,,0;0.6;0.6
29,46,1,1,1;3;3
29,47,1,1.5,1.5;2.7;2.7
29,48,1,1.2,1.2;3.2;3.2
29,49,1,1.2,1.2;3.5;3.5
29,50,1,0.8,0.8;4.5;4.5
29,51,1,1.5,1.5;3.1;3.1
29,52,1,1,1;2.2;2.2
29,53,1,0.5,0.5;3.3;3.3
29,54,1,0.8,1.5;2.5;2.5
29,55,1,0.8,0.8;2;2
29,56,1,0.6,0.6;2;2
29,57,1,0.9,0.9;2;2
29,58,1,1,1;2;2
29,59,1,1,1;1.7;1.7
29,60,1,0.8,0.8;1.2;1.2
29,61,1,0.2,0.2;0.6;0.6
29,62,1,0.8,0.8;1.6;1.6
29,63,1,0.5,0.5;1.5;1.5
29,64,1,1,1;3.5;3.5
29,65,1,1,1;3;3
29,66,1,0.5,0.5;1.7;1.7
29,67,1,3,3;6;6
29,68,1,2,2;3.5;3.5
29,69,1,1.5,1.5;3.7;3.7
29,70,1,1.5,1.5;3.8;3.8
29,71,1,1,1;3;3
