Character ID,Entity ID,Min Value,Max Value,Other Values
25,48,1,2,2;3;3
25,49,1,0.3,0.3;1;1
25,50,1,0.7,0.7;1.5;1.5
25,51,1,0.5,0.5;1.5;1.5
25,52,1,1.5,1.5;2.5;2.5
25,53,1,3,3;8;8
25,54,1,0.6,0.6;1.7;1.7
25,55,1,4,4;9;9
25,56,1,1,1;4;4
25,57,1,1,1;1.5;1.5
25,58,1,2,2;6;6
25,59,1,5,5;10;10
25,60,1,1.5,1.5;2.5;2.5
25,61,1,2,2;4;4
25,62,1,0.7,0.7;1.5;1.5
25,63,1,1,1;3;3
25,64,1,1,1;3;3
25,65,1,2,2;3;3
25,66,1,2,2;4;4
25,67,1,1,1;4;4
25,68,1,4,4;8;8
25,69,1,1,1;2;2
25,70,1,1,1;1.5;1.5
25,71,1,0.9,0.9;2.5;2.5
25,72,1,0.5,0.5;1;1
25,73,1,1.7,1.7;4;4
25,74,1,0.5,0.5;3;3
25,75,1,0.2,0.2;0.5;0.5
25,76,1,0.2,0.2;1;1
25,77,1,1.2,1.2;3;3
25,78,1,2,2;10;10
25,79,1,0.2,0.2;1;1
25,80,1,1,1;2.5;2.5
25,81,1,0.5,0.5;1.5;1.5
25,82,1,1,1;2.5;2.5
25,83,1,0.5,0.5;1.5;1.5
25,84,1,1,1;2;2
25,85,1,0.5,0.5;2;2
25,86,1,0.5,0.5;2;2
25,87,1,0.5,0.5;1.5;1.5
25,88,1,0.5,0.5;1.5;1.5
25,89,1,1,1;3;3
25,90,1,1,1;3;3
25,91,1,0.5,0.5;3;3
25,92,1,0.5,0.5;1.5;1.5
25,93,1,0.2,0.2;1;1
25,94,1,0.5,0.5;1.5;1.5
25,95,1,0.2,0.2;1;1
25,96,1,0.5,0.5;2;2
25,97,1,0.5,0.5;1;1
25,98,1,0.2,0.2;1;1
25,99,1,2,2;4;4
25,100,1,0.2,0.2;1;1
25,101,1,4,4;12;12
25,102,1,1,1;2;2
25,103,1,0.2,0.2;0.6;0.6
25,104,1,1,1;2;2
25,105,1,0.5,0.5;1;1
25,106,1,0.5,0.5;2;2
25,107,1,10,10;120;120
25,108,1,2,2;3;3
25,109,1,2,2;10;10
25,110,1,0.5,0.5;1;1
25,111,1,4,4;5;5
25,112,1,1,1;2;2
25,113,1,2.5,2.5;5;5
25,114,1,5,5;50;50
25,115,1,3,3;5;5
25,116,1,2,2;4;4
25,117,1,1,1;2.5;2.5
25,118,1,0.2,0.2;1;1
25,119,1,0.2,0.2;1;1
25,120,1,0.2,0.2;1.5;1.5
25,121,1,0.2,0.2;1;1
25,122,1,0.5,0.5;1.5;1.5
25,123,1,0.2,0.2;1;1
25,124,1,0.2,0.2;1;1
25,125,1,0.2,0.2;1;1
25,126,1,0.2,0.2;1.5;1.5
25,127,1,0.2,0.2;1;1
25,128,1,0.2,0.2;1;1
25,129,1,0.5,0.5;1.5;1.5
25,130,1,0.2,0.2;1;1
25,131,1,0.2,0.2;1;1
25,132,1,0.2,0.2;1;1
25,133,1,0.2,0.2;1;1
25,134,1,0.5,0.5;1.5;1.5
25,135,1,0.2,0.2;3;3
25,136,1,0.2,0.2;1.5;1.5
25,137,1,0.2,0.2;1;1
25,138,1,0.2,0.2;1;1
25,139,1,0.2,0.2;1;1
25,140,1,0.2,0.2;1;1
25,141,1,0.2,0.2;1;1
25,142,1,0.8,0.8;2;2
25,143,1,0.5,0.5;1;1
25,144,1,0.7,0.7;1.7;1.7
25,145,1,5,5;15;15
25,146,1,0.7,0.7;2;2
25,147,1,1.2,1.2;2;2
25,148,1,5,5;20;20
25,149,1,1,1;2.5;2.5
25,150,1,3,3;4;5
25,151,1,2,2;4;4
25,152,1,2,2;8;8
25,153,1,3,3;6;6
25,154,1,5,5;10;10
25,155,1,0.8,0.8;2;2
25,156,1,0.7,0.7;1.5;1.5
25,157,1,3,3;10;10
25,158,1,0.5,0.5;2;2
25,159,1,0.8,0.8;1.8;1.8
25,160,1,2.5,2.5;9;9
25,161,1,0.8,0.8;1.5;1.5
25,162,1,0.8,0.8;5;5
25,163,1,4,4;10;10
25,164,1,0.8,0.8;1.5;1.5
25,165,1,1,1;2;2
25,166,1,1,1;2;2
25,167,1,1.2,1.2;4;4
25,168,1,1,1;5;5
25,169,1,1.3,1.3;2;2
25,170,1,0.2,0.2;1.5;1.5
25,171,1,0.2,0.2;1.5;1.5
25,172,1,0.2,0.2;1.5;1.5
25,173,1,1,1;2;2
25,174,1,0.2,0.2;1;1
25,175,1,0.5,0.5;1;1
