Character ID,Entity ID,Min Value,Max Value,Other Values
29,18,1,2,2;10;10
29,19,1,10,10;37;37
29,20,1,8,8;25;25
29,21,1,0.5,0.5;9;9
29,22,1,2.5,2.5;10;10
29,23,1,5,5;30;30
29,24,1,3,3;23;23
29,25,1,1.5,1.5;8;8
29,26,1,0.5,0.5;26;26
29,27,1,5,5;19;19
29,28,1,4,4;14;14
29,29,1,2,2;15;15
29,30,1,0.7,0.7;7;7
29,31,1,2,2;20;20
29,32,1,20,20;60;60
29,33,1,3,3;40;40
29,34,1,1.4,1.4;6;6
29,35,1,1,1;10;10
29,36,1,1,1;10;10
29,37,1,6,6;35;35
29,38,1,6,6;32;32
29,39,1,4,4;20;20
29,40,1,0.5,0.5;10;10
29,41,1,3,3;14;14
29,42,1,9,9;19;19
29,43,1,8,8;32;32
29,44,1,9,9;40;40
29,45,1,3,3;20;20
29,46,1,0.7,0.7;6;6
29,47,1,0.6,0.6;5.5;5.5
29,48,1,15,15;30;30
29,49,1,16,16;43;43
29,50,1,5,5;20;20
29,51,1,5,5;20;20
29,52,1,0.2,0.2;2;2
29,53,1,10,10;28;28
29,54,1,11,11;40;40
29,55,1,1,1;4;4
29,56,1,1,1;6;6
29,57,1,0.5,0.5;2.5;2.5
29,58,1,1.5,1.5;9;9
29,59,1,1,1;8;8
29,60,1,1,1;8;8
29,61,1,0.5,0.5;8;8
29,62,1,0.5,0.5;7;7
30,1,1,2.5,2.5;3.5;3.5
30,2,1,1.5,1.7;2.2;2.5
30,3,1,2.5,2.5;4;4
30,4,1,1.5,1.5;2.6;2.6
30,5,1,1.5,1.5;3;3
30,6,1,2.5,2.5;4;4
30,7,1,2,2;3;3
30,8,1,1.5,1.5;3;3
30,9,1,2,2;3;3
30,10,1,1.9,1.9;3;3
30,11,1,1.5,1.5;2.5;2.5
30,12,1,2.5,2.5;12;12
30,13,1,2.5,2.5;4;4
30,14,1,2,2;3.5;3.5
30,15,1,1.5,1.5;3;3
30,16,1,1.5,1.5;6;6
30,17,1,1.5,1.5;2.5;2.5
30,18,1,2.5,2.5;4;4
30,19,1,1.5,1.5;2.5;2.5
30,20,1,2,2;3.6;3.6
30,21,1,3,3;5.5;5.5
30,22,1,1.5,1.5;3;3
30,23,1,2.5,2.5;3.5;3.5
30,24,1,2.5,2.5;5;5
30,25,1,2,2;4;4
30,26,1,2,2;4;4
30,27,1,1.5,1.5;3;3
30,28,1,2.5,2.5;5;5
30,29,1,3,3;8.5;8.5
30,30,1,3,3;5.5;5.5
30,31,1,2.5,2.5;4;4
30,32,1,1.5,1.5;2.6;2.6
30,33,1,2.5,2.5;3;3
30,34,1,1.5,1.5;5;5
30,35,1,2.5,2.5;4.5;4.5
30,36,1,3,3;5;5
30,37,1,2.5,2.5;3.5;3.5
30,38,1,2,2;3;3
30,39,1,2,2;3;3
30,40,1,1.5,1.5;2.5;2.5
30,41,1,2.5,2.5;6;6
30,42,1,2,2;3;3
30,43,1,1,1;3;3
30,44,1,3,3;4.5;4.5
30,45,1,2.5,2.5;4;4
30,46,1,3.5,3.5;6;6
30,47,1,1.5,1.5;3.5;3.5
30,48,1,2,2;2.5;2.5
30,49,1,1.5,1.5;3;3
30,50,1,2,2;4;4
30,51,1,2.5,2.5;5;5
30,52,1,1.5,1.5;2.5;2.5
30,53,1,1,1;2;2
30,54,1,2.5,2.5;4;4
30,55,1,2.5,2.5;3.5;3.5
30,56,1,2,2;2.5;2.5
30,57,1,2,2;2.5;2.5
30,58,1,1.9,1.9;2.6;2.6
30,59,1,2,2;3;3
30,60,1,2.7,2.7;3.3;3.3
30,61,1,2,2;3;3
30,62,1,2.5,2.5;3.5;3.5
31,1,1,0.4,0.4;0.7;0.7
